epoch,train_loss,train_acc
1,0.328342556587855,0.9071
2,0.13736714142958323,0.9596000000317891
3,0.10096000358263651,0.9692666666984558
4,0.08059135974645615,0.9751666666666666
5,0.06642197302927573,0.9801166666666666
6,0.056627368704477946,0.9823166666984559
7,0.049062976785500846,0.9837333333333333
8,0.04065747712055842,0.9869333333333333
9,0.03602606140921513,0.98865
10,0.0368699584270517,0.9887166666666667
11,0.03003956798315048,0.9902666666666666
12,0.025762396602829297,0.9919833333015442
13,0.025559326724708082,0.9920666666666667
14,0.02244812357624372,0.9930500000317891
15,0.02177960281868776,0.9932166666348775
16,0.019749059120814004,0.9934
17,0.019636253296832242,0.9938833333333333
18,0.02113860641469558,0.9934
19,0.018363644989455738,0.9953833333333333
20,0.02307164293800791,0.9939666666666667
